Status,Module,File Time Stamp,Link Time Stamp,File Size,Attr.,Link Checksum,Real Checksum,CPU,Subsystem,Symbols,Preferred Base,Actual Base,Virtual Size,Load Order,File Ver,Product Ver,Image Ver,Linker Ver,OS Ver,Subsystem Ver
D?,"DWMAPI.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
D,"c:\windows\system32\SCECLI.DLL",2004-08-04 12:00:00,2004-08-04 02:56:37,180224,A,0x00032B1D,0x00032B1D,x86,Console,"CV",0x74410000,Unknown,0x0002E000,Not Loaded,5.1.2600.2180,5.1.2600.2180,5.1,7.10,5.1,4.0
D,"c:\windows\system32\SETUPAPI.DLL",2004-08-04 12:00:00,2004-08-04 02:56:32,983552,A,0x000F596B,0x000F596B,x86,GUI,"CV",0x77920000,Unknown,0x000F3000,Not Loaded,5.1.2600.2180,5.1.2600.2180,5.1,7.10,5.1,4.0
D,"c:\windows\system32\SHDOCVW.DLL",2007-10-11 00:13:46,2007-10-11 01:13:45,1494528,A,0x0017B3DF,0x0017B3DF,x86,GUI,"CV",0x7E290000,Unknown,0x0016F000,Not Loaded,6.0.2900.3231,6.0.2900.3231,5.1,7.10,5.1,4.0
D,"c:\windows\system32\SHSVCS.DLL",2006-12-19 15:52:18,2006-12-19 16:52:11,134656,A,0x00024BE1,0x00024BE1,x86,GUI,"CV",0x776E0000,Unknown,0x00023000,Not Loaded,6.0.2900.3051,6.0.2900.3051,5.1,7.10,5.1,4.10
D,"c:\windows\system32\TAPI32.DLL",2004-08-04 12:00:00,2004-08-04 02:56:38,181760,A,0x0003736D,0x0003736D,x86,GUI,"CV",0x76EB0000,Unknown,0x0002F000,Not Loaded,5.1.2600.2180,5.1.2600.2180,5.1,7.10,5.1,4.0
D,"c:\windows\system32\URLMON.DLL",2009-02-20 13:09:38,2009-02-20 13:09:38,1160192,A,0x001211AF,0x001211AF,x86,GUI,"CV",0x78130000,Unknown,0x00127000,Not Loaded,7.0.6000.16825,7.0.6000.16825,6.0,8.0,6.0,5.1
D,"c:\windows\system32\USERENV.DLL",2004-08-04 12:00:00,2004-08-04 02:56:41,723456,A,0x000B67EA,0x000B67EA,x86,GUI,"CV",0x769C0000,Unknown,0x000B3000,Not Loaded,5.1.2600.2180,5.1.2600.2180,5.1,7.10,5.1,4.0
D,"c:\windows\system32\USP10.DLL",2004-08-04 12:00:00,2004-08-04 02:56:42,406528,A,0x000656C9,0x000656C9,x86,GUI,"CV",0x74D90000,Unknown,0x0006B000,Not Loaded,1.420.2600.2180,1.420.2600.2180,5.1,7.10,5.1,4.0
D,"c:\windows\system32\UTILDLL.DLL",2004-08-04 12:00:00,2001-08-18 00:36:14,25600,A,0x0000DD91,0x0000DD91,x86,Console,"PDB",0x5ADB0000,Unknown,0x0000A000,Not Loaded,5.1.2600.0,5.1.2600.0,5.1,7.0,5.1,4.0
D,"c:\windows\system32\UXTHEME.DLL",2004-08-04 12:00:00,2004-08-04 02:56:43,218624,A,0x0003E638,0x0003E638,x86,GUI,"CV",0x5AD70000,Unknown,0x00038000,Not Loaded,6.0.2900.2180,6.0.2900.2180,5.1,7.10,5.1,4.10
D,"c:\windows\system32\VERSION.DLL",2004-08-04 12:00:00,2004-08-04 02:56:39,18944,A,0x00011D78,0x00011D78,x86,GUI,"CV",0x77C00000,Unknown,0x00008000,Not Loaded,5.1.2600.2180,5.1.2600.2180,5.1,7.10,5.1,4.0
D,"c:\windows\system32\W32TOPL.DLL",2004-08-04 12:00:00,2001-08-18 00:33:36,22016,A,0x00014769,0x00014769,x86,Console,"PDB",0x71F40000,Unknown,0x00009000,Not Loaded,5.1.2600.0,5.1.2600.0,5.1,7.0,5.1,4.10
D,"c:\windows\system32\WINHTTP.DLL",2008-12-16 07:47:52,2008-12-16 07:47:51,351232,A,0x00062103,0x00062103,x86,GUI,"CV",0x4D4F0000,Unknown,0x00058000,Not Loaded,5.1.2600.3494,5.1.2600.3494,5.1,7.10,5.1,4.0
D,"c:\windows\system32\WININET.DLL",2009-03-02 19:18:26,2009-03-02 19:18:24,826368,A,0x000D2E96,0x000D2E96,x86,GUI,"CV",0x78050000,Unknown,0x000D0000,Not Loaded,7.0.6000.16827,7.0.6000.16827,6.0,8.0,6.0,5.1
D,"c:\windows\system32\WINMM.DLL",2004-08-04 12:00:00,2004-08-04 02:57:10,176128,A,0x0002ED0A,0x0002ED0A,x86,GUI,"CV",0x76B40000,Unknown,0x0002D000,Not Loaded,5.1.2600.2180,5.1.2600.2180,5.1,7.10,5.1,4.0
D,"c:\windows\system32\WINSCARD.DLL",2004-08-04 12:00:00,2004-08-04 02:56:36,99328,A,0x000215C4,0x000215C4,x86,Console,"CV",0x723D0000,Unknown,0x0001C000,Not Loaded,5.1.2600.2180,5.1.2600.2180,5.1,7.10,5.1,4.10
D,"c:\windows\system32\WINSPOOL.DRV",2004-08-04 12:00:00,2004-08-04 02:56:38,146432,A,0x0002A147,0x0002A147,x86,GUI,"CV",0x73000000,Unknown,0x00026000,Not Loaded,5.1.2600.2180,5.1.2600.2180,5.1,7.10,5.1,4.0
D,"c:\windows\system32\WINSTA.DLL",2004-08-04 12:00:00,2004-08-04 02:56:40,53760,A,0x00014D19,0x00014D19,x86,Console,"CV",0x76360000,Unknown,0x00010000,Not Loaded,5.1.2600.2180,5.1.2600.2180,5.1,7.10,5.1,4.10
D,"c:\windows\system32\WINTRUST.DLL",2004-08-04 12:00:00,2004-08-04 02:56:41,176640,A,0x0003069E,0x0003069E,x86,GUI,"CV",0x76C30000,Unknown,0x0002E000,Not Loaded,5.131.2600.2180,5.131.2600.2180,5.1,7.10,5.1,4.0
D,"c:\windows\system32\WLDAP32.DLL",2004-08-04 12:00:00,2004-08-04 02:56:43,172032,A,0x0003811E,0x0003811E,x86,GUI,"CV",0x76F60000,Unknown,0x0002C000,Not Loaded,5.1.2600.2180,5.1.2600.2180,5.1,7.10,5.1,4.0
D,"c:\windows\system32\WMI.DLL",2004-08-04 12:00:00,2004-08-04 02:56:51,5632,A,0x0000EAA5,0x0000EAA5,x86,GUI,"CV",0x76D30000,Unknown,0x00004000,Not Loaded,5.1.2600.2180,5.1.2600.2180,5.1,7.10,5.1,4.0
D,"c:\windows\system32\WSOCK32.DLL",2004-08-04 12:00:00,2004-08-04 02:57:51,22528,A,0x00012C31,0x00012C31,x86,Console,"CV",0x71AD0000,Unknown,0x00009000,Not Loaded,5.1.2600.2180,5.1.2600.2180,5.1,7.10,5.1,4.10
D,"c:\windows\system32\WTSAPI32.DLL",2004-08-04 12:00:00,2004-08-04 02:57:55,18432,A,0x00008C06,0x00008C06,x86,Console,"CV",0x76F50000,Unknown,0x00008000,Not Loaded,5.1.2600.2180,5.1.2600.2180,5.1,7.10,5.1,4.10
D,"c:\windows\system32\WZCDLG.DLL",2004-08-04 12:00:00,2004-08-04 02:57:56,378368,A,0x000654B5,0x000654B5,x86,GUI,"CV",0x5DF10000,Unknown,0x0005E000,Not Loaded,5.1.2600.2180,5.1.2600.2180,5.1,7.10,5.1,4.0
D,"c:\windows\system32\WZCSAPI.DLL",2004-08-04 12:00:00,2004-08-04 02:57:57,51712,A,0x0000E183,0x0000E183,x86,Console,"CV",0x73030000,Unknown,0x00010000,Not Loaded,5.1.2600.2180,5.1.2600.2180,5.1,7.10,5.1,4.10
D,"c:\windows\system32\WZCSVC.DLL",2004-08-04 12:00:00,2004-08-04 02:57:58,359936,A,0x0005FD08,0x0005FD08,x86,Console,"CV",0x77620000,Unknown,0x0006E000,Not Loaded,5.1.2600.2180,5.1.2600.2180,5.1,7.10,5.1,4.10
D,"c:\windows\winsxs\x86_microsoft.windows.gdiplus_6595b64144ccf1df_1.0.2600.3352_x-ww_81af8e88\GDIPLUS.DLL",2008-04-15 12:54:20,2008-04-15 12:54:19,1724416,A,0x001AF372,0x001AF372,x86,Console,"CV",0x4EC50000,Unknown,0x001A6000,Not Loaded,5.1.3102.3352,5.1.3102.3352,5.1,7.10,5.1,4.0
